customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,Segment
92.0,448,6,53224.130000000005,4,5,5,455,Champions
170.0,436,4,47748.02,4,3,4,434,Loyal Customers
22.0,429,4,37450.880000000005,5,4,4,544,Champions
1.0,462,6,65421.75000000001,4,5,5,455,Champions
233.0,457,5,65741.40000000001,4,4,5,445,Champions
12.0,511,8,80954.21,3,5,5,355,Loyal Customers
46.0,543,5,54636.55,2,4,5,245,At Risk
78.0,472,5,54205.81999999999,3,4,5,345,Loyal Customers
218.0,650,3,28433.250000000004,1,2,3,123,Hibernating
73.0,451,4,13353.539999999999,4,4,1,441,Champions
282.0,541,7,71118.09,2,5,5,255,At Risk
47.0,429,5,50301.560000000005,5,4,5,545,Champions
121.0,504,2,23463.75,3,1,2,312,Hibernating
214.0,429,5,51778.67999999999,5,4,5,545,Champions
239.0,563,5,74736.72,2,4,5,245,At Risk
56.0,429,3,24124.64,5,3,2,532,Loyal Customers
107.0,474,3,48017.24,3,3,4,334,Loyal Customers
48.0,732,1,5035.6,1,1,1,111,Hibernating
26.0,502,4,26060.21,3,4,3,343,Loyal Customers
292.0,429,3,12211.23,5,3,1,531,Loyal Customers
257.0,520,6,63099.58,2,5,5,255,At Risk
113.0,555,5,54713.6,2,4,5,245,At Risk
253.0,514,1,-691.44,3,1,1,311,Hibernating
180.0,563,3,37843.229999999996,2,3,4,234,At Risk
207.0,457,3,12689.76,4,3,1,431,Loyal Customers
127.0,549,3,16695.3,2,3,2,232,At Risk
14.0,429,8,45191.9,5,5,4,554,Champions
28.0,462,3,26120.69,4,3,3,433,Loyal Customers
216.0,509,5,31538.510000000002,3,4,3,343,Loyal Customers
154.0,433,6,33159.55,5,5,3,553,Champions
187.0,548,3,46735.57,2,3,4,234,At Risk
7.0,505,6,49276.14,3,5,4,354,Loyal Customers
3.0,488,4,34568.9,3,4,3,343,Loyal Customers
238.0,549,2,27329.059999999998,2,1,3,213,Hibernating
274.0,458,4,43348.659999999996,4,4,4,444,Champions
294.0,429,3,44110.369999999995,5,3,4,534,Loyal Customers
227.0,459,7,69016.18,4,5,5,455,Champions
15.0,431,6,36847.79,5,5,4,554,Champions
192.0,455,3,34944.94,4,3,3,433,Loyal Customers
119.0,615,4,65508.200000000004,1,4,5,145,At Risk
202.0,450,5,41353.770000000004,4,4,4,444,Champions
39.0,469,7,53024.95,3,5,5,355,Loyal Customers
231.0,452,4,43404.649999999994,4,4,4,444,Champions
86.0,501,4,48610.22,3,4,4,344,Loyal Customers
300.0,617,3,16726.55,1,3,2,132,At Risk
25.0,508,8,82756.04,3,5,5,355,Loyal Customers
145.0,625,5,56528.97,1,4,5,145,At Risk
13.0,429,3,46766.97,5,3,4,534,Loyal Customers
212.0,491,2,35404.36,3,1,3,313,Hibernating
68.0,533,2,15143.41,2,1,2,212,Hibernating
67.0,629,3,51956.799999999996,1,3,5,135,At Risk
109.0,766,2,28179.78,1,1,3,113,Hibernating
146.0,642,3,41170.74,1,3,4,134,At Risk
228.0,429,4,35047.06,5,4,3,543,Champions
264.0,472,6,60030.310000000005,3,5,5,355,Loyal Customers
236.0,509,6,69579.34,3,5,5,355,Loyal Customers
83.0,552,1,8950.01,2,1,1,211,Hibernating
42.0,550,5,24902.399999999998,2,4,2,242,At Risk
101.0,436,4,40038.65,4,4,4,444,Champions
6.0,755,2,27666.96,1,1,3,113,Hibernating
226.0,442,7,66673.06,4,5,5,455,Champions
229.0,429,6,49772.100000000006,5,5,5,555,Champions
289.0,475,7,76986.6,3,5,5,355,Loyal Customers
150.0,494,3,28810.56,3,3,3,333,Loyal Customers
198.0,430,6,29016.920000000002,5,5,3,553,Champions
70.0,670,1,1956.86,1,1,1,111,Hibernating
112.0,516,2,17513.0,2,1,2,212,Hibernating
4.0,429,6,60165.83,5,5,5,555,Champions
152.0,429,5,41382.55999999999,5,4,4,544,Champions
137.0,429,5,65887.36,5,4,5,545,Champions
247.0,458,3,50671.91,4,3,5,435,Loyal Customers
243.0,542,6,55482.06,2,5,5,255,At Risk
31.0,684,2,28385.739999999998,1,1,3,113,Hibernating
40.0,452,7,62319.79000000001,4,5,5,455,Champions
36.0,433,3,23869.47,5,3,2,532,Loyal Customers
223.0,466,5,45175.939999999995,3,4,4,344,Loyal Customers
220.0,530,2,37015.95,2,1,4,214,Hibernating
75.0,466,4,37125.259999999995,3,4,4,344,Loyal Customers
134.0,441,5,35158.770000000004,4,4,3,443,Champions
118.0,444,5,44903.23999999999,4,4,4,444,Champions
94.0,627,2,15241.62,1,1,2,112,Hibernating
62.0,667,4,13662.9,1,4,1,141,At Risk
194.0,448,3,37293.380000000005,4,3,4,434,Loyal Customers
203.0,790,1,19116.62,1,1,2,112,Hibernating
173.0,463,4,43515.920000000006,4,4,4,444,Champions
275.0,440,2,23355.699999999997,4,2,2,422,Hibernating
225.0,475,4,32671.78,3,4,3,343,Loyal Customers
20.0,437,5,28957.13,4,4,3,443,Champions
140.0,429,2,14015.43,5,2,1,521,Hibernating
90.0,499,4,38269.43,3,4,4,344,Loyal Customers
142.0,652,2,13196.109999999999,1,2,1,121,Hibernating
38.0,429,5,67603.4,5,4,5,545,Champions
293.0,429,10,93198.79,5,5,5,555,Champions
139.0,507,1,15656.0,3,1,2,312,Hibernating
259.0,452,2,24937.309999999998,4,2,2,422,Hibernating
178.0,638,4,59761.659999999996,1,4,5,145,At Risk
10.0,472,8,46609.189999999995,3,5,4,354,Loyal Customers
261.0,429,6,68292.92,5,5,5,555,Champions
172.0,431,2,30554.510000000002,5,2,3,523,Hibernating
168.0,507,3,33251.61,3,3,3,333,Loyal Customers
130.0,431,6,39163.76,5,5,4,554,Champions
84.0,429,7,60670.11,5,5,5,555,Champions
265.0,711,1,12069.21,1,1,1,111,Hibernating
76.0,663,3,37766.020000000004,1,3,4,134,At Risk
35.0,429,3,34336.62,5,3,3,533,Loyal Customers
296.0,448,5,41919.880000000005,4,5,4,454,Champions
60.0,429,3,31251.1,5,3,3,533,Loyal Customers
267.0,429,5,49527.51000000001,5,5,4,554,Champions
270.0,429,4,36960.8,5,4,4,544,Champions
291.0,500,4,30425.85,3,4,3,343,Loyal Customers
213.0,586,2,11987.330000000002,2,2,1,221,Hibernating
165.0,429,4,35768.329999999994,5,4,4,544,Champions
132.0,450,2,20920.94,4,2,2,422,Hibernating
89.0,447,4,34489.99,4,4,3,443,Champions
237.0,562,5,28553.379999999997,2,5,3,253,At Risk
295.0,439,5,52242.7,4,5,5,455,Champions
104.0,429,6,66016.28,5,5,5,555,Champions
288.0,429,7,56271.33,5,5,5,555,Champions
179.0,463,4,33246.74,4,4,3,443,Champions
125.0,637,2,26256.53,1,2,3,123,Hibernating
23.0,466,3,39456.36,3,3,4,334,Loyal Customers
63.0,429,5,49569.45999999999,5,5,4,554,Champions
143.0,497,3,27300.260000000002,3,3,3,333,Loyal Customers
153.0,506,5,24404.15,3,5,2,352,Loyal Customers
157.0,454,5,63448.49,4,5,5,455,Champions
97.0,429,2,10351.08,5,2,1,521,Hibernating
254.0,674,2,1587.0400000000002,1,2,1,121,Hibernating
196.0,461,2,12872.460000000001,4,2,1,421,Hibernating
123.0,604,3,30735.65,1,3,3,133,At Risk
159.0,445,3,25941.920000000002,4,3,3,433,Loyal Customers
136.0,561,1,4932.42,2,1,1,211,Hibernating
115.0,429,3,18947.21,5,3,2,532,Loyal Customers
299.0,505,1,2908.85,3,1,1,311,Hibernating
283.0,514,1,5962.86,3,1,1,311,Hibernating
148.0,521,5,38701.86,2,5,4,254,At Risk
11.0,493,5,47221.0,3,5,4,354,Loyal Customers
200.0,531,2,14335.08,2,2,1,221,Hibernating
141.0,722,3,33595.4,1,3,3,133,At Risk
210.0,429,4,51021.27,5,4,5,545,Champions
171.0,429,3,25354.85,5,3,2,532,Loyal Customers
287.0,671,3,13908.9,1,3,1,131,At Risk
29.0,429,6,56147.65,5,5,5,555,Champions
297.0,602,2,36975.85,1,2,4,124,Hibernating
110.0,675,1,14316.24,1,1,1,111,Hibernating
182.0,670,3,40744.869999999995,1,3,4,134,At Risk
55.0,543,5,35177.31,2,5,3,253,At Risk
149.0,630,3,37231.05,1,3,4,134,At Risk
117.0,499,5,33729.67,3,5,3,353,Loyal Customers
244.0,561,2,6896.35,2,2,1,221,Hibernating
17.0,499,6,57111.49,3,5,5,355,Loyal Customers
128.0,475,3,36234.24,3,3,4,334,Loyal Customers
251.0,449,6,47812.55,4,5,4,454,Champions
177.0,481,5,44531.450000000004,3,5,4,354,Loyal Customers
285.0,429,7,54197.4,5,5,5,555,Champions
156.0,499,2,27834.120000000003,3,2,3,323,Hibernating
49.0,436,2,15153.7,4,2,2,422,Hibernating
189.0,429,1,13641.4,5,1,1,511,Hibernating
224.0,637,5,60492.96000000001,1,5,5,155,At Risk
215.0,432,6,61326.48,5,5,5,555,Champions
211.0,546,2,33251.96,2,2,3,223,Hibernating
32.0,562,2,23267.43,2,2,2,222,Hibernating
158.0,680,4,34938.46,1,4,3,143,At Risk
144.0,453,1,6047.82,4,1,1,411,Hibernating
19.0,789,1,19549.03,1,1,2,112,Hibernating
18.0,499,2,22338.09,3,2,2,322,Hibernating
175.0,464,4,37386.48,4,4,4,444,Champions
114.0,643,2,24928.12,1,2,2,122,Hibernating
222.0,589,4,35951.11,2,4,4,244,At Risk
131.0,440,5,55099.770000000004,4,5,5,455,Champions
266.0,464,4,53842.31999999999,4,4,5,445,Champions
162.0,433,2,36117.7,5,2,4,524,Hibernating
87.0,494,4,34814.049999999996,3,4,3,343,Loyal Customers
255.0,645,1,85.04,1,1,1,111,Hibernating
54.0,543,2,12206.279999999999,2,2,1,221,Hibernating
96.0,459,3,29556.14,4,3,3,433,Loyal Customers
88.0,440,2,16547.28,4,2,2,422,Hibernating
120.0,447,5,39592.240000000005,4,5,4,454,Champions
263.0,610,1,-744.71,1,1,1,111,Hibernating
85.0,772,1,10526.03,1,1,1,111,Hibernating
147.0,435,4,30442.77,4,4,3,443,Champions
188.0,429,5,30051.23,5,5,3,553,Champions
82.0,506,4,67759.37,3,4,5,345,Loyal Customers
2.0,434,3,20927.4,5,3,2,532,Loyal Customers
197.0,448,1,435.42,4,1,1,411,Hibernating
234.0,761,1,5000.92,1,1,1,111,Hibernating
256.0,572,1,18833.42,2,1,2,212,Hibernating
280.0,550,2,3591.2,2,2,1,221,Hibernating
59.0,566,6,31960.73,2,5,3,253,At Risk
209.0,496,3,37565.1,3,3,4,334,Loyal Customers
9.0,445,5,66304.51000000001,4,5,5,455,Champions
201.0,477,3,37698.990000000005,3,3,4,334,Loyal Customers
246.0,429,3,21659.85,5,3,2,532,Loyal Customers
278.0,434,2,9239.6,5,2,1,521,Hibernating
41.0,658,4,30197.77,1,4,3,143,At Risk
27.0,442,4,33361.47,4,4,3,443,Champions
219.0,500,2,8764.53,3,2,1,321,Hibernating
268.0,557,3,36669.97,2,3,4,234,At Risk
190.0,676,1,18839.46,1,1,2,112,Hibernating
64.0,542,3,42039.89,2,3,4,234,At Risk
193.0,429,3,25843.15,5,3,2,532,Loyal Customers
181.0,434,3,27599.7,5,3,3,533,Loyal Customers
164.0,578,3,47855.28,2,3,4,234,At Risk
232.0,742,1,1139.76,1,1,1,111,Hibernating
250.0,543,3,21055.71,2,3,2,232,At Risk
129.0,703,1,4215.9,1,1,1,111,Hibernating
217.0,480,2,6946.889999999999,3,2,1,321,Hibernating
108.0,450,4,38769.009999999995,4,4,4,444,Champions
102.0,490,2,35510.38,3,2,3,323,Hibernating
44.0,517,2,10021.560000000001,2,2,1,221,Hibernating
57.0,603,1,14600.51,1,1,1,111,Hibernating
80.0,432,3,33388.84,5,3,3,533,Loyal Customers
16.0,465,2,19130.38,3,2,2,322,Hibernating
199.0,441,3,33221.270000000004,4,3,3,433,Loyal Customers
176.0,436,3,17723.84,4,3,2,432,Loyal Customers
103.0,544,2,28076.23,2,2,3,223,Hibernating
269.0,543,3,15968.49,2,3,2,232,At Risk
245.0,537,2,16431.29,2,2,2,222,Hibernating
185.0,429,1,17035.15,5,1,2,512,Hibernating
272.0,572,1,13215.76,2,1,1,211,Hibernating
65.0,542,1,8223.42,2,1,1,211,Hibernating
52.0,512,1,9903.72,3,1,1,311,Hibernating
260.0,665,1,11762.81,1,1,1,111,Hibernating
72.0,513,4,42286.17,3,4,4,344,Loyal Customers
241.0,650,2,19449.68,1,2,2,122,Hibernating
99.0,705,2,25521.120000000003,1,2,2,122,Hibernating
105.0,681,2,14656.869999999999,1,2,2,122,Hibernating
124.0,771,1,15622.72,1,1,2,112,Hibernating
37.0,573,3,41534.11,2,3,4,234,At Risk
284.0,429,2,9829.67,5,2,1,521,Hibernating
186.0,441,2,12462.34,4,2,1,421,Hibernating
169.0,794,1,6823.2,1,1,1,111,Hibernating
45.0,509,2,5872.64,3,2,1,321,Hibernating
191.0,595,1,12791.32,2,1,1,211,Hibernating
258.0,730,1,14786.69,1,1,2,112,Hibernating
206.0,578,2,30871.4,2,2,3,223,Hibernating
77.0,522,2,12644.65,2,2,1,221,Hibernating
163.0,629,3,27264.45,1,3,3,133,At Risk
74.0,703,1,17671.69,1,1,2,112,Hibernating
242.0,429,2,18211.78,5,2,2,522,Hibernating
204.0,456,3,28275.269999999997,4,3,3,433,Loyal Customers
33.0,780,1,4659.75,1,1,1,111,Hibernating
79.0,464,2,15319.15,4,2,2,422,Hibernating
58.0,611,2,23512.34,1,2,2,122,Hibernating
271.0,460,2,8801.59,4,2,1,421,Hibernating
21.0,624,2,21663.47,1,2,2,122,Hibernating
208.0,712,2,22601.9,1,2,2,122,Hibernating
174.0,430,2,21930.11,5,2,2,522,Hibernating
50.0,589,2,31222.66,2,2,3,223,Hibernating
24.0,613,2,14833.970000000001,1,2,2,122,Hibernating
116.0,637,1,13807.92,1,1,1,111,Hibernating
221.0,661,1,8765.2,1,1,1,111,Hibernating
66.0,523,2,18745.27,2,2,2,222,Hibernating
100.0,452,1,2025.65,4,1,1,411,Hibernating
298.0,541,1,9244.52,2,1,1,211,Hibernating
276.0,434,1,8533.79,5,1,1,511,Hibernating
